model,stage,fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,elapsed_seconds,parameters
lstm_transformer,final_test,fixed_test,0.8818181818181818,0.7967592592592593,0.8078703703703705,0.789945085778419,0.8865059687786961,193.64000010490417,255268
transformer,final_test,fixed_test,0.9,0.7853835978835978,0.8023148148148149,0.7791002207668875,0.905006609552064,183.41479301452637,289700
lstm_attention,final_test,fixed_test,0.8545454545454545,0.7805555555555556,0.7912037037037037,0.7617865159531826,0.8552964712055621,132.51797699928284,225188
lstm,final_test,fixed_test,0.8363636363636363,0.7009920634920636,0.736574074074074,0.7020760104093438,0.8312771067316522,159.02616024017334,151716
